,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
29.7,3.016,3.841,5.081,,4.452,4.87,5.731,,2.79,3.984,4.242
29.8,3.188,3.502,5.225,,4.512,4.928,5.96,,2.52,3.742,4.189
29.9,3.551,3.655,5.077,,4.296,5.033,5.964,,2.411,3.887,4.089
30,2.666,3.506,5.206,,4.513,5.033,6.267,,2.603,4.045,3.825
30.1,3.131,3.238,5.722,,4.425,4.928,6.57,,2.761,3.625,3.918
30.2,3.061,3.683,5.067,,4.324,5.144,5.755,,2.293,3.419,4.186
30.3,2.666,3.682,5.267,,4.42,5.158,6.1,,2.459,3.618,3.792
30.4,2.799,3.492,5.437,,3.754,4.512,5.964,,2.705,3.228,3.846
30.5,3.466,3.873,5.227,,4.68,5.005,6.253,,2.488,3.999,4.622
30.6,3.176,3.932,5.285,,3.899,5.118,6.365,,2.391,3.764,4.145
30.7,3.302,3.674,5.302,,4.31,4.907,6.588,,2.689,3.704,4.262
30.8,3.014,3.509,4.896,,4.02,5.085,6.314,,2.624,3.788,4.26
30.9,2.664,3.312,5.438,,4.207,5.179,5.987,,2.417,3.982,4.224
31,2.749,3.458,5.813,,4.446,4.924,6.214,,2.624,4.226,3.762
31.1,3.28,3.888,5.429,,4.422,5.129,5.75,,2.428,4.087,4.062
31.2,2.107,3.344,5.103,,4.357,4.803,5.923,,2.354,3.924,4.105
31.3,2.047,3.972,5.03,,4.459,5.376,6.248,,2.435,4.076,3.992
31.4,1.808,3.703,5.071,,4.819,5.113,6.484,,2.566,3.82,3.919
31.5,2.003,3.835,5.255,,4.814,5.072,6.056,,2.335,3.798,3.737
31.6,2.04,3.792,5.274,,4.819,5.072,6.087,,2.777,3.577,3.859
31.7,2.401,3.498,5.339,,4.976,5.43,5.802,,2.335,3.759,3.95
31.8,2.535,3.501,5.074,,4.658,5.493,6.095,,2.488,3.491,4.043
31.9,2.253,3.788,5.655,,4.453,5.16,5.824,,2.53,3.374,3.851
32,2.168,3.674,5.551,,4.451,5.631,5.906,,2.546,3.85,4.247
32.1,2.884,3.616,5.418,,3.987,5.386,6.436,,2.701,3.295,4.301
32.2,2.684,3.777,4.881,,3.767,5.085,5.83,,2.674,4.013,4.207
32.3,2.637,3.921,5.517,,4.143,4.959,5.846,,2.877,3.537,3.677
32.4,2.656,3.878,5.54,,3.654,5.258,6.153,,2.577,3.256,3.782
32.5,2.727,3.488,5.186,,4.058,5.232,6.473,,2.813,3.825,4.224
32.6,2.8,3.91,4.53,,4.224,5.388,5.867,,2.469,3.569,3.769
32.7,2.66,3.667,5.491,,4.299,5.167,6.071,,2.533,3.298,3.748
32.8,2.416,3.794,4.926,,4.231,5.114,5.831,,3.155,3.691,3.934
32.9,2.594,3.9,5.251,,4.585,5.381,6.201,,3.105,4.012,4.396
