,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
30.2,2.837,2.325,4.554,,7.857,7.401,3.776,,4.985,5.401,2.262
30.3,2.543,2.225,4.188,,8.27,7.623,3.6,,4.936,5.684,1.99
30.4,2.53,2.351,4.42,,7.669,6.921,3.105,,4.73,5.578,2.296
30.5,2.778,2.424,4.431,,8.557,6.966,3.155,,4.855,5.269,2.392
30.6,2.422,2.068,4.25,,8.064,6.841,3.746,,4.358,5.291,2.474
30.7,2.499,2.389,4.525,,8.48,7.018,3.589,,4.565,5.698,2.314
30.8,2.724,2.294,4.658,,8.706,6.731,3.596,,4.703,5.493,1.922
30.9,2.636,2.155,4.373,,8.276,7.179,3.754,,3.865,5.963,1.963
31,2.787,2.228,4.554,,8.409,7.11,3.975,,3.966,5.93,2.26
31.1,2.394,2.568,4.378,,8.224,6.891,3.644,,4.037,5.49,2.26
31.2,2.603,2.298,4.417,,8.732,7.068,3.972,,4.502,5.655,2.337
31.3,2.396,2.322,4.404,,8.931,7.139,4.058,,4.46,5.625,2.368
31.4,2.599,2.432,4.549,,9.17,6.573,3.839,,4.504,5.535,2.199
31.5,2.714,2.29,4.648,,7.887,6.93,4.054,,4.553,5.721,3.016
31.6,2.623,2.423,4.453,,8.124,6.831,3.485,,4.339,5.788,2.747
31.7,2.729,2.354,4.624,,9.26,6.887,3.4,,3.902,5.384,2.766
31.8,2.723,2.27,4.793,,8.992,7.085,3.775,,4.899,5.826,2.899
31.9,2.539,2.184,4.544,,8.744,7.131,3.565,,4.696,5.772,2.618
32,2.694,2.473,4.971,,8.831,7.222,3.983,,4.732,5.205,2.983
32.1,3.045,2.578,4.539,,8.685,7.369,4.139,,3.923,5.277,2.527
32.2,2.733,2.492,4.292,,8.313,7.127,3.724,,3.792,5.595,2.324
32.3,3.062,2.345,4.397,,8.255,7.127,3.716,,3.88,5.669,2.039
32.4,2.748,2.372,4.283,,7.679,7.439,3.493,,3.651,5.335,2.081
32.5,2.969,2.085,4.515,,7.696,7.059,3.797,,4.265,5.186,2.512
